name,sim_time_ms,par2_ms
037d21e060a2e3eab8b080aa84ceee75-mm-1x10-10-10-sb.1.shuffled-as.sat03-1489,1674.680,1674.680
06e928088bd822602edb83e41ce8dadb-satcoin-genesis-SAT-10,0.000,72000.000
080896c437245ac25eb6d3ad6df12c4f-bv-term-small-rw_1492.smt2,4.118,4.118
1427381a809c64c721838894ece6756d-shuffling-2-s25242449-of-bench-sat04-727.used-as.sat04-753,0.000,72000.000
17039a3ed02ea12653ec5389e56dab50-pbl-00070.shuffled-as.sat05-1324.shuffled-as.sat05-1324,183.476,183.476
211938776d92f11870a687abd11d55a4-iso-icl004.shuffled-as.sat05-3238,0.836,0.836
220bb8aa093e502c47afcdac3140d67c-vmpc_24,8356.340,8356.340
24b93d0bf941e4b050c9109e4cb7faf4-connm-ue-csp-sat-n600-d-0.02-s1022905465.used-as.sat04-951,364.560,364.560
25a654a029421baed232de5e6e19c72e-mp1-qpr-bmp280-driver-14,2480.690,2480.690
2a31b024f84fb4127d83b5e43c306ffe-mrpp_6x6#10_10,2646.500,2646.500
3988a60c6e93167763c6fd2a347d5859-Break_08_24.xml,256.719,256.719
3db38a90085107e738587a90c790384e-38bits_10.dimacs,11164.200,11164.200
431bfb466be51ecd86b321b5cbce6d3c-mrpp_8x8#22_10,573.703,573.703
43e492bccfd57029b758897b17d7f04f-pb_300_09_lb_07,0.000,72000.000
44b249f51321a2bf38f730534b781bec-c880_gr_rcs_w7.shuffled,8.293,8.293
47520f6d68cc6528f698f9984e533913-manthey_single-ordered-initialized-w14-b7,3.666,3.666
483e67e61c27723eec3cfa3dbe4f07c3-mrpp_4x4#8_8,151.815,151.815
4blocks,68.180,68.180
4e5e351dc69f0bd323688d4917e3ad5d-manthey_single-ordered-initialized-w20-b7,96.720,96.720
554cdbf751c29048d49473df6e87e6b1-mrpp_6x6#16_9,164.050,164.050
578f9377bfbfcc6ea3a18eb630667956-ferry8_ks99i.renamed-as.sat05-4005,60.694,60.694
646c5dd00cc8abd592a33e18c0d2aa39-manthey_single-ordered-initialized-w26-b7,1879.930,1879.930
78592b2e0120f520bcdec4099593297b-manthey_single-ordered-initialized-w22-b6,163.131,163.131
7aa3b29dde431cdacf17b2fb9a10afe4-Mario-t-hard-2_c18,0.000,72000.000
7b5895f110a6aa5a5ac5d5a6eb3fd322-g2-ak128modasbg1sbisc,0.000,72000.000
7c6472811be33889e96b18df1c5a6b42-manthey_DimacsSorterHalf_33_1,112.114,112.114
7f7109dce621ef361a72b3e8cee9a962-Break_unsat_06_07.xml,1251.390,1251.390
804ae5e8cb6ab57438e6cb705755d693-manthey_single-ordered-initialized-w20-b10,38.751,38.751
911cbc796d15eb316d36c82c90fd7d11-c499_gr_2pin_w6.shuffled,388.447,388.447
91c69a1dedfa5f2b3779e38c48356593-Problem14_label20_true-unreach-call.c,0.000,72000.000
9_6_2,9.855,9.855
9_6_3,3.166,3.166
9_6_4,6.594,6.594
a7213279dc05d4d6f9dc8c09596a563c-manthey_single-ordered-initialized-w22-b8,205.685,205.685
aacfb8797097f698d14337d3a04f3065-barman-pfile06-022.sas.ex.7,0.000,72000.000
b2a3d5cef8030d90cfe77271eaf77a11-manthey_single-ordered-initialized-w18-b8,36.372,36.372
b578728a489073549fadc963981c3bee-manthey_single-ordered-initialized-w20-b8,101.756,101.756
bf31eea5a8b87410f1fb83064e2cb82e-dlx1c.ucl.sat.chaff.4.1.bryant,38.495,38.495
blocksworldc,25.157,25.157
bmc-ibm-1,54.207,54.207
bmc-ibm-2,1.898,1.898
c9ce173177f091f397ac8be79fba5d66-mrpp_4x4#4_24,1736.210,1736.210
ca14adcb9296a7b31d7815c2ed16d0f1-ITC2021_Early_3.xml,0.000,72000.000
ca42f722a9523776454f8eb6ec9bce69-manthey_single-ordered-initialized-w12-b6,2.649,2.649
ccc709abdca6bf542e17a4c3152f4c55-manthey_single-ordered-initialized-w18-b7,66.483,66.483
dp10s10.shuffled,47.554,47.554
e17d3f94f2c0e11ce6143bc4bf298bd7-mp1-qpr-bmp280-driver-5,2010.800,2010.800
e185ebbd92c23ab460a3d29046eccf1d-group_mulr,0.000,72000.000
f407105cf315c262ec5e3a743148a4ea-manthey_single-ordered-initialized-w24-b9,929.304,929.304
f613b20d9347bdac226b166cfffddeda-manthey_single-ordered-initialized-w24-b7,662.856,662.856
fce130da1efd25fa9b12e59620a4146b-g2-ak128diagobg1btaig,0.000,72000.000
ff6b6ad55c0dffe034bc8daa9129ff1d-satcoin-genesis-SAT-10-sc2018,0.000,72000.000
logistics-rotate-07t5.shuffled-as.sat05-1137,1087.930,1087.930
logisticsd,7.705,7.705
qg6-10,7.745,7.745
qg6-11,37.211,37.211
qg6-12,925.617,925.617
qg7-10,1.564,1.564
qg7-11,26.128,26.128
qg7-12,291.965,291.965
rand_net60-30-1.shuffled,402.052,402.052
